race_id,year,date,race_name,track,grade,surface,distance,url
2014_haruten2014,2014,5/4（祝・日）,天皇賞（春）,京都,G1,Turf,3200,https://www.jra.go.jp/datafile/seiseki/g1/haruten/result/haruten2014.html
2014_nmc2014,2014,5/11（日）,ＮＨＫマイルＣ,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/nmc/result/nmc2014.html
2014_victoria2014,2014,5/18（日）,ヴィクトリアマイル,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/victoria/result/victoria2014.html
2014_oaks2014,2014,5/25（日）,オークス,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/oaks/result/oaks2014.html
2014_derby2014,2014,6/1（日）,日本ダービー,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/derby/result/derby2014.html
2014_yasuda2014,2014,6/8（日）,安田記念,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/yasuda/result/yasuda2014.html
2014_takara2014,2014,6/29（日）,宝塚記念,阪神,G1,Turf,2200,https://www.jra.go.jp/datafile/seiseki/g1/takara/result/takara2014.html
2014_sprint2014,2014,10/5（日）,スプリンターズＳ,新潟,G1,Turf,1200,https://www.jra.go.jp/datafile/seiseki/g1/sprint/result/sprint2014.html
2014_shuka2014,2014,10/19（日）,秋華賞,京都,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/shuka/result/shuka2014.html
2014_kikka2014,2014,10/26（日）,菊花賞,京都,G1,Turf,3000,https://www.jra.go.jp/datafile/seiseki/g1/kikka/result/kikka2014.html
2014_akiten2014,2014,11/2（日）,天皇賞（秋）,東京,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/akiten/result/akiten2014.html
2014_eliza2014,2014,11/16（日）,エリザベス女王杯,京都,G1,Turf,2200,https://www.jra.go.jp/datafile/seiseki/g1/eliza/result/eliza2014.html
2014_mile2014,2014,11/23（祝・日）,マイルチャンピオンシップ,京都,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/mile/result/mile2014.html
2014_jc2014,2014,11/30（日）,ジャパンＣ,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/jc/result/jc2014.html
2014_jcd2014,2014,12/7（日）,チャンピオンズＣ,中京,G1,Dirt,1800,https://www.jra.go.jp/datafile/seiseki/g1/jcd/result/jcd2014.html
