horse_id,horse_name,sire_id,sire_name,dam_id,dam_name,grandsire_id,grandsire_name,dam_sire_id,dam_sire_name
0000701701,オレハマッテルゼ,0000333862,サンデーサイレンス(USA),0000233038,カーリーエンジェル,0000335154,Halo(USA),0000333822,ジヤツジアンジエルーチ(USA)
0000318060,オーシャンブルー,0000337441,ポリッシュネイビー(USA),0000198508,スパークルダンサー,0000336082,Danzig(USA),0000333632,ダンサーズイメージ(USA)
0000803095,オースミダイドウ,0000293624,スペシャルウィーク,0000298398,ストームティグレス,0000333862,サンデーサイレンス(USA),0000337102,Storm Cat(USA)
0001270769,オーソクレース,0001124297,エピファネイア,0001139058,マリアライト,0000700008,シンボリクリスエス(USA),0000742976,ディープインパクト
0000807809,オープンガーデン,0000271682,ゴーカイ,0000618859,ダンスフォンテン,0000333822,ジヤツジアンジエルーチ(USA),0000274883,ダンスインザダーク
0001169180,カイザーバル,0000749845,エンパイアメーカー(USA),0000726398,ダンスインザムード,0000340629,Unbridled(USA),0000333862,サンデーサイレンス(USA)
0001040066,カジノドライヴ,0000744351,Mineshaft(USA),0000448043,Better Than Honour(USA),0000339653,A.P. Indy(USA),0000338072,Deputy Minister(CAN)
0000803447,カタマチボタン,0000274883,ダンスインザダーク,0000303395,タヤスブルーム,0000333862,サンデーサイレンス(USA),0000336202,Caerleon(USA)
0000241151,カテドラル,0000333851,インイクストリーミス(USA),0000177311,ミュウレン,0000336086,Sharpen Up(GB),0000333582,コインドシルバー(USA)
0000806716,カノヤザクラ,0000225628,サクラバクシンオー,0000384116,ウッドマンズシック(USA),0000145106,サクラユタカオー,0000337445,Woodman(USA)
0001151110,カフジテイク,0000372825,プリサイスエンド(USA),0000618654,テイクザケイク,0000361855,エンドスウィープ(USA),0000333886,スキャン(USA)
0000326684,カルストンライトオ,0000342675,ウォーニング(GB),0000229105,オオシマルチア,0000335911,Known Fact(USA),0000337265,クリスタルグリツターズ(USA)
0001044299,カレンチャン,0000615577,クロフネ(USA),0000316290,スプリングチケット,0000362799,フレンチデピュティ(USA),0000161740,トニービン(IRE)
0001110454,カレンブラックヒル,0000725485,ダイワメジャー,0000808408,チャールストンハーバー(USA),0000333862,サンデーサイレンス(USA),0000365179,Grindstone(USA)
0001221953,カレンブーケドール,0000742976,ディープインパクト,0001209432,ソラリア(CHI),0000333862,サンデーサイレンス(USA),0001003260,Scat Daddy(USA)
0001091552,カレンミロティック,0000722158,ハーツクライ,0000331265,スターミー(USA),0000333862,サンデーサイレンス(USA),0000339653,A.P. Indy(USA)
0000759762,カワカミプリンセス,0000294840,キングヘイロー,0000310350,タカノセクレタリー(USA),0000336853,ダンシングブレーヴ(USA),0000335964,Seattle Slew(USA)
0000170721,カンタービレ,0000333614,ゼダーン(GB),0000382592,ギヤラントミシー(USA),0000333952,Grey Sovereign(GB),0000334746,Raja Baba(USA)
0000143601,カンパニー,0000032673,スカレー,0000462202,サンキヨウト,0000455756,エルシド(FR),0000003898,サラ　オーテモン
0000752219,キストゥヘヴン,0000309184,アドマイヤベガ,0000196998,ロングバージン,0000333862,サンデーサイレンス(USA),0000333544,ノーザンテースト(CAN)
0000807526,キズナ,0000299089,グラスワンダー(USA),0000614258,ジョウノモンブラン,0000336890,Silver Hawk(USA),0000333862,サンデーサイレンス(USA)
0000722114,キセキ,0000262443,フジキセキ,0000225199,アイドルタレント,0000333862,サンデーサイレンス(USA),0000333770,ワツスルタツチ(USA)
0000228602,キタサンブラック,0000117758,ホクトフラツグ,0000161242,ニードルアイ,0000333422,シヤトーゲイ(USA),0000333641,サドンソー(CAN)
0001122883,キタサンミカヅキ,0000294840,キングヘイロー,0000723741,キタサンジュエリー,0000336853,ダンシングブレーヴ(USA),0000225628,サクラバクシンオー
0000887465,キャプテントゥーレ,0000324933,アグネスタキオン,0000316322,エアトゥーレ,0000333862,サンデーサイレンス(USA),0000161740,トニービン(IRE)
0001089307,キョウワジャンヌ,0000722158,ハーツクライ,0000298966,アサカフジ(USA),0000333862,サンデーサイレンス(USA),0000337444,Seeking the Gold(USA)
0000729458,キングカメハメハ,0000347989,Kingmambo(USA),0000440324,マンファス(IRE),0000335975,Mr. Prospector(USA),0000337436,ラストタイクーン(IRE)
0000736606,キングジョイ,0000256512,マーベラスサンデー,0000295676,プリンセスエイブル,0000333862,サンデーサイレンス(USA),0000333874,ジェイドロバリー(USA)
0001134550,キングズオブザサン,0000626923,チチカステナンゴ(FR),0000309040,スティンガー,0000361696,Smadoun(FR),0000333862,サンデーサイレンス(USA)
0000901749,キンシャサノキセキ,0000262443,フジキセキ,0000450583,ケルトシャーン(USA),0000333862,サンデーサイレンス(USA),0000335991,Pleasant Colony(USA)
0001208410,ギベオン,0000742976,ディープインパクト,0001177676,コンテスティッド(USA),0000333862,サンデーサイレンス(USA),0000978108,Ghostzapper(USA)
0000211044,ギャラントアロー,0000105218,ミナガワマンナ,0000120195,アローエントリー,0000008661,シンザン,0000019148,アローエクスプレス
0000319772,ギルデッドエージ,0000333901,ティンバーカントリー(USA),0000201791,モントタヤーラ,0000337445,Woodman(USA),0000333544,ノーザンテースト(CAN)
0001234088,ギルデッドミラー,0001090360,オルフェーヴル,0001086073,タイタンクイーン(USA),0000286968,ステイゴールド,0000621100,Tiznow(USA)
0000800736,クィーンスプマンテ,0000325200,ジャングルポケット,0000262359,センボンザクラ,0000161740,トニービン(IRE),0000145106,サクラユタカオー
0001156107,クイーンズリング,0000324971,マンハッタンカフェ,0000920276,アクアリング,0000333862,サンデーサイレンス(USA),0000365067,Anabaa(USA)
0001153933,クラリティスカイ,0000615577,クロフネ(USA),0000759812,タイキクラリティ,0000362799,フレンチデピュティ(USA),0000293624,スペシャルウィーク
0001104873,クラレント,0000274883,ダンスインザダーク,0000330325,エリモピクシー,0000333862,サンデーサイレンス(USA),0000336853,ダンシングブレーヴ(USA)
0001237259,クラヴァシュドール,0000722158,ハーツクライ,0001209431,パスオブドリームズ(USA),0000333862,サンデーサイレンス(USA),0000372708,Giant's Causeway(USA)
0000210315,クリソベリル,0000333725,アーテイアス(USA),0000382764,フエアリークリスタル(GB),0000345057,Round Table(USA),0000335936,Be My Guest(USA)
0001217922,クリノガウディー,0000801447,スクリーンヒーロー,0000989611,クリノビリオネア,0000299089,グラスワンダー(USA),0000340066,ディアブロ(USA)
0001184463,クリンチャー,0000891931,ディープスカイ,0000324398,ザフェイツ,0000324933,アグネスタキオン,0000333844,ブライアンズタイム(USA)
0001156999,クルミナル,0000742976,ディープインパクト,0001039664,クルソラ(ARG),0000333862,サンデーサイレンス(USA),0000345372,Candy Stripes(USA)
0001172189,クロコスミア,0000286968,ステイゴールド,0000886438,デヴェロッペ,0000333862,サンデーサイレンス(USA),0000365330,ボストンハーバー(USA)
0001216129,クロノジェネシス,0000849057,バゴ(FR),0000760266,クロノロジスト,0000342649,Nashwan(USA),0000615577,クロフネ(USA)
0001120040,クロフネサプライズ,0000615577,クロフネ(USA),0000324920,アイアンブリッジ,0000362799,フレンチデピュティ(USA),0000161740,トニービン(IRE)
0001220947,グランアレグリア,0000742976,ディープインパクト,0001115215,タピッツフライ(USA),0000333862,サンデーサイレンス(USA),0000849372,Tapit(USA)
0001110810,グランデッツァ,0000324933,アグネスタキオン,0000899515,マルバイユ(IRE),0000333862,サンデーサイレンス(USA),0000341019,Marju(IRE)
0000989837,グランプリエンゼル,0000321138,アグネスデジタル(USA),0000286817,アンダンテ,0000336770,Crafty Prospector(USA),0000333862,サンデーサイレンス(USA)
0001090394,グランプリボス,0000225628,サクラバクシンオー,0000316553,ロージーミスト,0000145106,サクラユタカオー,0000333862,サンデーサイレンス(USA)
0001234701,グランレイ,0001042049,ルーラーシップ,0001096321,ミラクルベリー,0000729458,キングカメハメハ,0000626942,ファルブラヴ(IRE)
0001118149,グレイスフルリープ,0000619768,ゴールドアリュール,0000275623,ラビットフット(USA),0000333862,サンデーサイレンス(USA),0000337444,Seeking the Gold(USA)
0001296553,グレナディアガーズ,0001161935,Frankel(GB),0001295921,ウェイヴェルアベニュー(CAN),0000714343,Galileo(IRE),0000899158,Harlington(USA)
0001088326,グレープブランデー,0000324971,マンハッタンカフェ,0000274964,ワインアンドローズ,0000333862,サンデーサイレンス(USA),0000333822,ジヤツジアンジエルーチ(USA)
