race_id,horse_name,horse_id,position,finish_time,jockey,trainer,weight,odds,horse_weight,age,sex,passing_positions,margin
2002_中山_中山牝馬Ｓ,タイキトゥインクル,0000308304,9,1:46.8,梶晃啓,伊藤正徳,51.0kg,5.0,476Kg(-2),6.0,牝,,ハナ
2002_中山_中山牝馬Ｓ,メジロバーバラ,0000192735,10,1:47.0,勝浦正樹,高橋裕,51.0kg,11.0,468Kg(+2),5.0,牝,,１ 1/2馬身
2002_中山_中山牝馬Ｓ,ヴァイタルトラック,0000295075,11,1:47.8,柴田未崎,中野栄治,49.0kg,14.0,460Kg(0),7.0,牝,,５馬身
2002_中山_中山牝馬Ｓ,タイムフェアレディ,0000324097,12,1:48.1,田中勝春,中野栄治,51.0kg,13.0,416Kg(+2),4.0,牝,,１ 3/4馬身
2002_中山_中山牝馬Ｓ,グロリアスドータ,0000293055,13,1:48.3,後藤浩輝,小西一男,52.0kg,12.0,484Kg(+6),7.0,牝,,１ 1/2馬身
2002_中山_中山牝馬Ｓ,ハギノスプレンダー,0000305409,14,1:48.8,岡部幸雄,鮫島一歩,53.0kg,9.0,482Kg(-4),6.0,牝,,３馬身
2002_阪神_阪神スプリングジャンプ,マグマライフ,0000330283,1,4:21.1,牧田和弥,大根田裕之,59.0kg,4.0,512Kg(+6),4.0,牡,,
2002_阪神_阪神スプリングジャンプ,イブキマンパワー,0000281833,2,4:21.3,西谷誠,中尾謙太郎,60.0kg,5.0,470Kg(-6),8.0,牡,,１馬身
2002_阪神_阪神スプリングジャンプ,レガシーロック,0000291480,3,4:22.2,白浜雄造,坂口正則,62.0kg,12.0,486Kg(+6),7.0,牡,,５馬身
2002_阪神_阪神スプリングジャンプ,マキシマムプレイズ,0000298266,4,4:22.8,林満明,坪憲章,60.0kg,2.0,458Kg(-2),7.0,せん,,３ 1/2馬身
2002_阪神_阪神スプリングジャンプ,アドマイヤタッチ,0000316539,5,4:23.0,北沢伸也,藤沢則雄,60.0kg,8.0,506Kg(0),5.0,牡,,３／４馬身
2002_阪神_阪神スプリングジャンプ,コスモクロス,0000315374,6,4:23.1,岡冨俊一,鹿戸明,60.0kg,11.0,462Kg(-8),5.0,牡,,１／２馬身
2002_阪神_阪神スプリングジャンプ,ダルタニアン,0000013166,7,4:23.7,熊沢重文,伊藤雄二,60.0kg,3.0,470Kg(0),6.0,せん,,３ 1/2馬身
2002_阪神_阪神スプリングジャンプ,エイシンビンセンス,0000287851,8,4:24.0,植野貴也,野元昭,60.0kg,6.0,490Kg(-2),8.0,牡,,１ 3/4馬身
2002_阪神_阪神スプリングジャンプ,サクセスリー,0000323948,9,4:25.5,高田潤,山内研二,57.0kg,1.0,498Kg(+6),4.0,牝,,９馬身
2002_阪神_阪神スプリングジャンプ,ユーセイシュタイン,0000302074,10,4:26.4,出津孝一,岩元市三,60.0kg,10.0,478Kg(0),6.0,牡,,５馬身
2002_阪神_阪神スプリングジャンプ,コウエイジャンボ,0000186177,99,,菊地昇吾,橋口弘次郎,60.0kg,9.0,520Kg(+8),6.0,せん,,
2002_阪神_阪神スプリングジャンプ,ビッグハンター,0000213487,99,,常石勝義,中尾正,60.0kg,7.0,458Kg(0),5.0,牡,,
2002_中山_クリスタルＣ,サーガノヴェル,0000709150,1,1:07.6,横山典弘,古賀史生,54.0kg,2.0,464Kg(-2),3.0,牝,,
2002_中山_クリスタルＣ,イーグルスウォード,0000704081,2,1:07.8,勝浦正樹,浅見秀一,55.0kg,12.0,482Kg(+6),3.0,牡,,１ 1/2馬身
2002_中山_クリスタルＣ,カフェボストニアン,0000700010,3,1:07.8,Ｏ．ペリエ,松山康久,56.0kg,1.0,516Kg(-8),3.0,牡,,アタマ
2002_中山_クリスタルＣ,シャドウスケイプ,0000614256,4,1:08.2,蛯名正義,森秀行,55.0kg,5.0,436Kg(-4),3.0,牡,,２ 1/2馬身
2002_中山_クリスタルＣ,スターエルドラード,0000626071,5,1:08.2,後藤浩輝,森秀行,56.0kg,4.0,466Kg(-8),3.0,牡,,クビ
2002_中山_クリスタルＣ,ビッグスマッシュ,0000619510,6,1:08.3,北村宏司,池上昌弘,55.0kg,7.0,508Kg(-2),3.0,牡,,クビ
2002_中山_クリスタルＣ,キーンランドスワン,0000704196,7,1:08.3,村田一誠,森秀行,55.0kg,11.0,486Kg(+16),3.0,牡,,クビ
2002_中山_クリスタルＣ,ゲイリーファントム,0000634806,8,1:08.8,郷原洋司,鶴留明雄,55.0kg,16.0,540Kg(+4),3.0,牡,,３馬身
2002_中山_クリスタルＣ,シルヴァーパレット,0001168310,9,1:09.2,吉田豊,安田隆行,55.0kg,9.0,450Kg(-8),3.0,牡,,２ 1/2馬身
2002_中山_クリスタルＣ,ダイワフォーチュン,0000612123,10,1:09.3,二本柳壮,増沢末夫,55.0kg,8.0,466Kg(0),3.0,牡,,１／２馬身
2002_中山_クリスタルＣ,スピニングマジック,0000700950,11,1:09.4,高山太郎,佐藤全弘,55.0kg,15.0,512Kg(-4),3.0,牡,,３／４馬身
2002_中山_クリスタルＣ,テイエムマズルカ,0000617197,12,1:09.6,田中勝春,鹿戸明,55.0kg,14.0,456Kg(-4),3.0,牡,,１ 1/4馬身
2002_中山_クリスタルＣ,ネガティブリターン,0000700011,13,1:09.9,岡部幸雄,松山康久,55.0kg,6.0,478Kg(-2),3.0,牡,,１ 3/4馬身
2002_中山_クリスタルＣ,エンドレスデザート,0000704076,14,1:10.1,江田照男,角居勝彦,55.0kg,10.0,478Kg(+2),3.0,牡,,１馬身
2002_中山_クリスタルＣ,タガノチャーリーズ,0000704074,15,1:10.2,柴田善臣,橋本寿正,53.0kg,3.0,458Kg(0),3.0,牝,,１／２馬身
2002_中山_クリスタルＣ,ベネフィシャル,0000705466,16,1:10.5,太宰啓介,太宰義人,55.0kg,13.0,526Kg(-8),3.0,牡,,１ 3/4馬身
2002_阪神_フィリーズレビュー,サクセスビューティ,0000616294,1,1:21.6,藤田伸二,山内研二,54.0kg,7.0,486Kg(-4),3.0,牝,,
2002_阪神_フィリーズレビュー,キョウワノコイビト,0000616022,2,1:21.8,福永祐一,山本正司,54.0kg,5.0,436Kg(0),3.0,牝,,１ 1/2馬身
2002_阪神_フィリーズレビュー,キタサンヒボタン,0000611488,3,1:21.8,須貝尚介,須貝彦三,54.0kg,1.0,464Kg(-6),3.0,牝,,ハナ
2002_阪神_フィリーズレビュー,ブルーリッジリバー,0000611418,4,1:22.0,四位洋文,小島太,54.0kg,3.0,442Kg(-2),3.0,牝,,１馬身
2002_阪神_フィリーズレビュー,ブライアンズイブ,0000616540,5,1:22.0,武幸四郎,大久保正陽,54.0kg,9.0,422Kg(-2),3.0,牝,,ハナ
2002_阪神_フィリーズレビュー,スパイシードール,0000613534,6,1:22.1,石橋守,北橋修二,54.0kg,16.0,434Kg(-4),3.0,牝,,１／２馬身
2002_阪神_フィリーズレビュー,カネトシディザイア,0000619961,7,1:22.1,河内洋,田中章博,54.0kg,2.0,440Kg(+2),3.0,牝,,クビ
2002_阪神_フィリーズレビュー,ストロベリードール,0000614708,8,1:22.3,安藤勝己,本郷一彦,54.0kg,10.0,438Kg(+2),3.0,牝,,１馬身
2002_阪神_フィリーズレビュー,ウィルビーゼア,0000616484,9,1:22.4,松永幹夫,加藤敬二,54.0kg,4.0,450Kg(-10),3.0,牝,,３／４馬身
2002_阪神_フィリーズレビュー,シュテルンプレスト,0000619885,10,1:22.5,渡辺薫彦,坪憲章,54.0kg,15.0,420Kg(-2),3.0,牝,,クビ
2002_阪神_フィリーズレビュー,マチカネテマリウタ,0000612876,11,1:22.5,幸英明,西園正都,54.0kg,11.0,426Kg(-2),3.0,牝,,クビ
2002_阪神_フィリーズレビュー,トゥインチアズ,0000614893,12,1:22.9,吉原寛人,松野勝己,54.0kg,6.0,488Kg(-6),3.0,牝,,２ 1/2馬身
2002_阪神_フィリーズレビュー,エイシンスペイン,0000612587,13,1:22.9,小池隆生,加用正,54.0kg,8.0,438Kg(-2),3.0,牝,,クビ
2002_阪神_フィリーズレビュー,ホクセツクィーン,0000008035,14,1:23.2,吉田稔,白井寿昭,54.0kg,12.0,436Kg(+8),3.0,牝,,２馬身
2002_阪神_フィリーズレビュー,タイフィール,0000616793,15,1:24.1,小林徹弥,宮徹,54.0kg,14.0,436Kg(-8),3.0,牝,,５馬身
2002_阪神_フィリーズレビュー,ランディスティニー,0000614099,16,1:25.1,池添謙一,領家政蔵,54.0kg,13.0,484Kg(-2),3.0,牝,,６馬身
2002_中山_フラワーＣ,スマイルトゥモロー,0000620324,1,1:49.1,岡部幸雄,勢司和浩,53.0kg,3.0,430Kg(0),3.0,牝,,
2002_中山_フラワーＣ,マイネヴィータ,0000612190,2,1:49.5,蛯名正義,田村康仁,53.0kg,2.0,474Kg(-4),3.0,牝,,２ 1/2馬身
2002_中山_フラワーＣ,レディーシップ,0000058838,3,1:49.8,Ｂ．ドイル,柴田政人,53.0kg,5.0,480Kg(-4),3.0,牝,,１ 3/4馬身
2002_中山_フラワーＣ,シーディザーブス,0000619879,4,1:49.8,横山典弘,森秀行,53.0kg,6.0,498Kg(-6),3.0,牝,,クビ
2002_中山_フラワーＣ,マイネミモーゼ,0000612189,5,1:49.8,後藤浩輝,堀井雅広,53.0kg,4.0,458Kg(-6),3.0,牝,,アタマ
2002_中山_フラワーＣ,メジロジョーンズ,0000619700,6,1:49.8,吉田豊,大久保洋吉,53.0kg,8.0,464Kg(+2),3.0,牝,,ハナ
2002_中山_フラワーＣ,ブリストルパリ,0000634445,7,1:49.8,北村宏司,手塚貴久,53.0kg,10.0,452Kg(0),3.0,牝,,ハナ
2002_中山_フラワーＣ,ブリガドーン,0000620152,8,1:50.1,柴田善臣,小西一男,53.0kg,1.0,464Kg(-6),3.0,牝,,１ 3/4馬身
2002_中山_フラワーＣ,カントリーバッハ,0000614509,9,1:50.2,田中勝春,飯塚好次,53.0kg,12.0,472Kg(-6),3.0,牝,,３／４馬身
2002_中山_フラワーＣ,エメラルドアイル,0000619786,10,1:50.3,江田照男,橋口弘次郎,53.0kg,7.0,422Kg(-2),3.0,牝,,１／２馬身
2002_中山_フラワーＣ,ソウルミュージック,0000219115,11,1:50.4,小林淳一,斎藤宏,53.0kg,13.0,442Kg(+2),3.0,牝,,クビ
2002_中山_フラワーＣ,ビクトリアノニジ,0000613116,12,1:50.9,佐々木国明,谷口常信,53.0kg,14.0,420Kg(-26),3.0,牝,,３馬身
2002_中山_フラワーＣ,ローズウッド,0000612364,13,1:51.5,村田一誠,国枝栄,53.0kg,11.0,486Kg(-12),3.0,牝,,３ 1/2馬身
