horse_id,horse_name,sire_id,sire_name,dam_id,dam_name,grandsire_id,grandsire_name,dam_sire_id,dam_sire_name
02-07,02-07,,,,,,,,
02-11,02-11,,,,,,,,
0000727137,Bareeburan,0000274883,Dansuinzadaaku,0000384028,Nikiiya(Usa),0000333862,Sandeesairensu(Usa),0000336085,Nureyev(Usa)
0001087291,Baredokuuru,0000611525,Taninogimuretto,0000233133,Sutaabareriina,0000333844,Buraianzutaimu(Usa),0000337288,Risen Star(Usa)
0000736159,Barensooru,0000337421,Afuriito(Can),0000244190,Misutoraruagen,0000335975,Mr. Prospector(Usa),0000333792,Surirushiyoo(Usa)
0000885713,Barozuhaato,0000337421,Afuriito(Can),0000295124,Biggurabu,0000335975,Mr. Prospector(Usa),0000333862,Sandeesairensu(Usa)
0000732021,Baronkaranotegami,0000368659,Koronadozukuesuto(Usa),0000419906,Hitch(Usa),0000337550,Footeinainaa(Usa),0000335972,Cox'S Ridge(Usa)
0001118427,Barondoufooru,0000742976,Diipuinpakuto,0000286885,Ratoraviaata,0000333862,Sandeesairensu(Usa),0000145106,Sakurayutakaoo
0000756454,Baronhaabaa,0000365330,Bosutonhaabaa(Usa),0000270229,Marukajanpu,0000336568,Capote(Usa),0000161734,Aremiroodo(Usa)
0000701331,Baroonefonten,0000339572,Operahausu(Gb),0000225167,Jupitaagaaru,0000336572,Sadler'S Wells(Usa),0000333769,Paakuriijiento(Can)
0000721601,Bankaakaunto,0000342600,Lord Bud(Ire),0000721602,Gilzie Bank,0000334343,Lord Gayle(Usa),0000355109,New Brig
0000992364,Bangarooru,0000324933,Agunesutakion,0000321286,Suiitosuriringu(Usa),0000333862,Sandeesairensu(Usa),0000361977,Sandaagaruchi(Usa)
0000148266,Bangooru,0000333474,Aretsu(Fr),0000382094,Ooguriin,0000334064,Le Fabuleux(Fr),0000333263,Fuiriyuusu(Fr)
0000006859,Banzai,0000333115,Raijingufureemu(Ire),0000376828,Uootaamiyuujitsuku(Gb),0000334531,The Phoenix(Gb),0000334530,The Pelican(Gb)
0000724072,Banjokyaratto,0000214562,Sutaaobukojiin(Usa),0000383788,Kureaazuopinion(Usa),0000337423,Cozzene(Usa),0000337092,Devil'S Bag(Usa)
0000288563,Banjooburuu,0000175386,Kitasanburuu,0000205603,Takarafueari,0000069360,Sara Maruzensukii,0000113474,Sachienohiriyuu
0001139461,Banzuumu,0000700008,Shinborikurisuesu(Usa),0000756056,Pedikurarisu,0000336209,Kris S.(Usa),0000333862,Sandeesairensu(Usa)
0001144166,Bande,0001029544,Authorized(Ire),0001032304,Logica(Ire),0000369845,Montjeu(Ire),0000341091,Priolo(Usa)
0000313681,Bandoonzaran,0000333862,Sandeesairensu(Usa),0000200811,Kyasutengugaaru,0000335154,Halo(Usa),0000333544,Noozanteesuto(Can)
0001142460,Bandowagon,0000237704,Howaitomazuru(Gb),0001033844,Piramima(Usa),0000336853,Danshingubureevu(Usa),0000361396,Unbridled'S Song(Usa)
0000761992,Banbuueeru,0000337421,Afuriito(Can),0000383965,Reinboouddo(Gb),0000335975,Mr. Prospector(Usa),0000337286,Rainbow Quest(Usa)
0000803698,Banbuusokuratesu,0000179021,Satsukaabooi,0000305816,Banbuukaguyahime,0000333664,Deikutasu(Fr),0000333886,Sukyan(Usa)
0000296694,Banbuumariatchi,0000114852,Banbuuatorasu,0000154988,Sawaabanbuu,0000333578,Jimufurenchi(Usa),0000333653,Jiyonteionburu(Gb)
0000618645,Banbuuyubentosu,0000255813,Mayanotoppugan,0000229577,Supuringubanbuu,0000333844,Buraianzutaimu(Usa),0000333770,Watsusurutatsuchi(Usa)
0000987940,Baajinsafaiya,0000368681,Kuriputeikkurasukaru(Usa),0000241668,Ogisafaiya,0000342433,Cryptoclearance(Usa),0000333763,Deikaadoremu(Usa)
0001367365,Baadibaadi,0001213491,Mozuasukotto(Usa),0000883214,Panamakkusu,0001161935,Frankel(Gb),0000615577,Kurofune(Usa)
0000092509,Baadiiiiguru,0000015214,Shiyuuzanminoru,0000027647,Sagamikanefuji,0000004459,Sara Shigeminoru,0000455756,Erushido(Fr)
0001120274,Baadobaaningu,0000739144,Suzukafenikkusu,0000327364,Sukyaningujoi,0000333862,Sandeesairensu(Usa),0000333886,Sukyan(Usa)
0001208050,Baaningupesuka,0001085636,Pairo(Usa),0001121852,Meishougantsu,0000337958,Pulpit(Usa),0000725485,Daiwamejaa
0000318407,Baabara,0000333844,Buraianzutaimu(Usa),0000383389,Sabaruyaado(Usa),0000335167,Roberto(Usa),0000334002,Northern Dancer(Can)
0001209440,Baarudobai,0001111493,Dubawi(Ire),0001105249,Poppuaikon,0000372664,Dubai Millennium(Gb),0000725485,Daiwamejaa
0000328362,Paian,0000337423,Cozzene(Usa),0000384116,Uddomanzushikku(Usa),0000334731,Caro(Ire),0000337445,Woodman(Usa)
0001206646,Paioniabaio,0001042049,Ruuraashippu,0001049652,Animeitobaio,0000729458,Kingukamehameha,0000701668,Zennoroburoi
0001201986,Pakusuamerikaana,0000615577,Kurofune(Usa),0000723076,Guroobarupiisu,0000362799,Furenchidepyutei(Usa),0000333862,Sandeesairensu(Usa)
0000701704,Pashionkuremansu,0000201489,Mejiroraian,0000274974,Kissupashion,0000098122,Anbaashiyadai,0000333874,Jieidorobarii(Usa)
