race_id,year,date,race_name,track,grade,grade_weight,surface,distance,going,weather,num_runners,url
2010_阪神_産経大阪杯,2010,4/4（日）,Sankei Osaka Hai,Hanshin,,0.0,Turf,2000,,,12,https://www.jra.go.jp/datafile/seiseki/replay/2010/037.html
2010_中山_ニュージーランドＴ,2010,4/10（土）,ニュージーランドＴ,Nakayama,,0.0,Turf,1600,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/038.html
2010_阪神_阪神牝馬Ｓ,2010,4/10（土）,阪神牝馬Ｓ,Hanshin,,0.0,Turf,1400,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/039.html
2010_阪神_桜花賞,2010,4/11（日）,Oka Sho (Japanese 1000 Guineas),Hanshin,,0.0,Turf,1600,,,18,https://www.jra.go.jp/datafile/seiseki/g1/ouka/result/ouka2010.html
2010_中山_中山グランドジャンプ,2010,4/17（土）,Nakayama Grand Jump,Nakayama,,0.0,,4250,,,14,https://www.jra.go.jp/datafile/seiseki/g1/ngj/result/ngj2010.html
2010_阪神_マイラーズＣ,2010,4/17（土）,マイラーズＣ,Hanshin,,0.0,Turf,1600,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/040.html
2010_中山_皐月賞,2010,4/18（日）,Satsuki Sho (Japanese 2000 Guineas),Nakayama,,0.0,Turf,2000,,,18,https://www.jra.go.jp/datafile/seiseki/g1/satsuki/result/satsuki2010.html
2010_福島_福島牝馬Ｓ,2010,4/24（土）,福島牝馬Ｓ,Fukushima,,0.0,Turf,1800,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/041.html
2010_東京_フローラＳ,2010,4/25（日）,Flora Stakes,Tokyo,,0.0,Turf,2000,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/042.html
2010_京都_アンタレスＳ,2010,4/25（日）,アンタレスＳ,Kyoto,,0.0,,1800,,,15,https://www.jra.go.jp/datafile/seiseki/replay/2010/043.html
2010_東京_青葉賞,2010,5/1（土）,Aoba Sho,Tokyo,,0.0,Turf,2400,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/044.html
2010_京都_天皇賞（春）,2010,5/2（日）,Emperor's Cup (Spring),Kyoto,,0.0,Turf,3200,,,18,https://www.jra.go.jp/datafile/seiseki/g1/haruten/result/haruten2010.html
2010_京都_京都新聞杯,2010,5/8（土）,京都新聞杯,Kyoto,,0.0,Turf,2200,,,17,https://www.jra.go.jp/datafile/seiseki/replay/2010/045.html
2010_新潟_新潟大賞典,2010,5/8（土）,新潟大賞典,Niigata,,0.0,Turf,2000,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/046.html
